Ruta,Sección,Contexto,Texto ES,Texto EN,Notas,Estado
nodos.problems.[0].rest,nodos,Producto Sensores Ambientales (/nodos),subestimados,underestimated,,Pendiente
nodos.problems.[1].bold,nodos,Producto Sensores Ambientales (/nodos),Cambios ambientales,Environmental changes,,Pendiente
nodos.problems.[1].rest,nodos,Producto Sensores Ambientales (/nodos),que pasan desapercibidos,that go unnoticed,,Pendiente
nodos.problems.[2].bold,nodos,Producto Sensores Ambientales (/nodos),Intervenciones,Late,,Pendiente
nodos.problems.[2].rest,nodos,Producto Sensores Ambientales (/nodos),tardías,interventions,,Pendiente
nodos.solutionSubtitle,nodos,Producto Sensores Ambientales (/nodos),Monitoreo continuo de las condiciones ambientales,Continuous monitoring of environmental conditions,,Pendiente
nodos.solutionImgAltLeft,nodos,Producto Sensores Ambientales (/nodos),Nodo ambiental instalado,Environmental node installed,,Pendiente
nodos.solutionImgAltCenter,nodos,Producto Sensores Ambientales (/nodos),Nodos ambientales,Environmental nodes,,Pendiente
nodos.highlightTitle1,nodos,Producto Sensores Ambientales (/nodos),Plataforma,Analytics,,Pendiente
nodos.highlightTitle2,nodos,Producto Sensores Ambientales (/nodos),de análisis,platform,,Pendiente
nodos.highlightText,nodos,Producto Sensores Ambientales (/nodos),"Visualiza cambios, identifica patrones y entiende la evolución del ambiente a través de datos centralizados en una sola plataforma.","Visualize changes, identify patterns and understand the evolution of the environment through data centralized in a single platform.",,Pendiente
nodos.features.[0].title,nodos,Producto Sensores Ambientales (/nodos),Monitoreo continuo,Continuous monitoring,,Pendiente
nodos.features.[0].text,nodos,Producto Sensores Ambientales (/nodos),"Monitorea temperatura, humedad y gases dentro del galpón durante todo el día.","Monitor temperature, humidity and gases inside the house all day long.",,Pendiente
nodos.features.[1].title,nodos,Producto Sensores Ambientales (/nodos),Alertas configurables,Configurable alerts,,Pendiente
nodos.features.[1].text,nodos,Producto Sensores Ambientales (/nodos),Recibe alertas cuando una condición ambiental sale del rango definido.,Receive alerts when an environmental condition falls outside the defined range.,,Pendiente
nodos.features.[2].title,nodos,Producto Sensores Ambientales (/nodos),Ambiente más seguro para el trabajo,A safer environment for work,,Pendiente
nodos.features.[2].text,nodos,Producto Sensores Ambientales (/nodos),Supervisa la calidad del aire y mantén condiciones adecuadas para animales dentro del galpón.,Monitor air quality and maintain suitable conditions for animals inside the house.,,Pendiente
nodos.diffImgAlt,nodos,Producto Sensores Ambientales (/nodos),Galpón con nodos ambientales,Poultry house with environmental nodes,,Pendiente
nodos.diffBadge1,nodos,Producto Sensores Ambientales (/nodos),Lecturas distribuidas en el galpón,Readings distributed across the house,,Pendiente
nodos.diffBlockTitle,nodos,Producto Sensores Ambientales (/nodos),Sensores configurables según la necesidad,Sensors configurable to your needs,,Pendiente
nodos.diffBlockText,nodos,Producto Sensores Ambientales (/nodos),Adapta la medición de variables ambientales según las necesidades específicas de cada granja.,Adapt the measurement of environmental variables to the specific needs of each farm.,,Pendiente
nodos.diffBadge2,nodos,Producto Sensores Ambientales (/nodos),Proyección de consumo,Consumption projection,,Pendiente
nodos.diffSlides.[0].img,nodos,Producto Sensores Ambientales (/nodos),/images/nodos/nd_diff_01.jpg,/images/nodos/nd_diff_01.jpg,,Pendiente
nodos.diffSlides.[0].title,nodos,Producto Sensores Ambientales (/nodos),Sensores configurables según la necesidad,Sensors configurable to your needs,,Pendiente
nodos.diffSlides.[0].text,nodos,Producto Sensores Ambientales (/nodos),Adapta la medición de variables ambientales según las necesidades específicas de cada granja.,Adapt the measurement of environmental variables to the specific needs of each farm.,,Pendiente
nodos.diffSlides.[1].img,nodos,Producto Sensores Ambientales (/nodos),/images/nodos/nd_diff_02.jpg,/images/nodos/nd_diff_02.jpg,,Pendiente
nodos.diffSlides.[1].title,nodos,Producto Sensores Ambientales (/nodos),Lecturas distribuidas en el galpón,Readings distributed across the house,,Pendiente
nodos.diffSlides.[1].text,nodos,Producto Sensores Ambientales (/nodos),Permite monitorear condiciones en diferentes puntos para entender mejor lo que ocurre dentro del ambiente productivo.,Monitor conditions at different points to better understand what happens inside the productive environment.,,Pendiente
nodos.diffSlides.[2].img,nodos,Producto Sensores Ambientales (/nodos),/images/nodos/nd_diff_03.jpg,/images/nodos/nd_diff_03.jpg,,Pendiente
nodos.diffSlides.[2].title,nodos,Producto Sensores Ambientales (/nodos),Arquitectura escalable por granja,Scalable architecture per farm,,Pendiente
nodos.diffSlides.[2].text,nodos,Producto Sensores Ambientales (/nodos),Instala múltiples sensores según el tamaño del galpón y el nivel de monitoreo que necesitas.,Install multiple sensors based on the size of the house and the level of monitoring you need.,,Pendiente
nodos.comparison.rows.[0],nodos,Producto Sensores Ambientales (/nodos),Función principal,Main function,,Pendiente
nodos.comparison.rows.[1],nodos,Producto Sensores Ambientales (/nodos),Cómo utiliza los datos de Nodos,How it uses Nodes data,,Pendiente
nodos.comparison.rows.[2],nodos,Producto Sensores Ambientales (/nodos),Tipo de dato utilizado,Type of data used,,Pendiente
nodos.comparison.columns.[0].title,nodos,Producto Sensores Ambientales (/nodos),DASHBOARD DE GRANJA,FARM DASHBOARD,,Pendiente
nodos.comparison.columns.[0].cells.[0],nodos,Producto Sensores Ambientales (/nodos),Es un panel de control diseñado para visualizar el comportamiento climático del galpón cada 15 minutos.,It is a control panel designed to visualize the house's climate behavior every 15 minutes.,,Pendiente
nodos.comparison.columns.[0].cells.[1],nodos,Producto Sensores Ambientales (/nodos),Recibe la información mediante una conexión de streaming continuo en la nube para graficar las variables y permitir la detección precisa de picos máximos y mínimos.,Receives the information through a continuous cloud streaming connection to chart the variables and enable precise detection of maximum and minimum peaks.,,Pendiente
nodos.comparison.columns.[0].cells.[2],nodos,Producto Sensores Ambientales (/nodos),Variables medioambientales.,Environmental variables.,,Pendiente
saber.title,saber,El poder del saber (/poder-del-saber),El poder del saber,The power of knowing,,Pendiente
saber.subtitle,saber,El poder del saber (/poder-del-saber),"Información técnica, análisis y datos que explican cómo
el monitoreo continuo mejora la rentabilidad en granja.","Technical information, analysis and data that explain how
continuous monitoring improves farm profitability.",,Pendiente
saber.featureTitle1,saber,El poder del saber (/poder-del-saber),Ciencias,Sciences,,Pendiente
saber.featureTitle2,saber,El poder del saber (/poder-del-saber),de la innovación,of innovation,,Pendiente
saber.featureAlt,saber,El poder del saber (/poder-del-saber),Ciencias de la innovación,Sciences of innovation,,Pendiente
saber.featureText,saber,El poder del saber (/poder-del-saber),Estudio sobre la implementación de PigVision en granjas porcinas y su impacto en la toma de decisiones. Presenta resultados reales de productividad y eficiencia basados en datos.,Study on the implementation of PigVision on swine farms and its impact on decision-making. It presents real productivity and efficiency results based on data.,,Pendiente
saber.featureDate,saber,El poder del saber (/poder-del-saber),Diciembre 2025,December 2025,,Pendiente
saber.revistas.[0].title,saber,El poder del saber (/poder-del-saber),Revista digital: BM Editores,Digital magazine: BM Editores,,Pendiente
saber.revistas.[0].text,saber,El poder del saber (/poder-del-saber),Cómo PigVision mejora el control del crecimiento porcino con datos en granja.,How PigVision improves swine growth control with on-farm data.,,Pendiente
saber.revistas.[0].date,saber,El poder del saber (/poder-del-saber),Febrero 2025,February 2025,,Pendiente
saber.revistas.[0].url,saber,El poder del saber (/poder-del-saber),https://bmeditores.mx/porcicultura/asimetrix-marca-la-diferencia-en-control-de-crecimiento-porcino/,https://bmeditores.mx/porcicultura/asimetrix-marca-la-diferencia-en-control-de-crecimiento-porcino/,,Pendiente
saber.revistas.[1].title,saber,El poder del saber (/poder-del-saber),Revista digital: Pig progress,Digital magazine: Pig progress,,Pendiente
saber.revistas.[1].text,saber,El poder del saber (/poder-del-saber),Actualización de tendencias globales en porcicultura y dinámica del mercado.,Update on global trends in pig farming and market dynamics.,,Pendiente
saber.revistas.[1].date,saber,El poder del saber (/poder-del-saber),Marzo 2025,March 2025,,Pendiente
saber.revistas.[1].url,saber,El poder del saber (/poder-del-saber),https://www.pigprogress.net/market-trends-analysis-the-industrymarkets/wrapping-up-february-whats-new-in-the-world-of-pigs-7/,https://www.pigprogress.net/market-trends-analysis-the-industrymarkets/wrapping-up-february-whats-new-in-the-world-of-pigs-7/,,Pendiente
saber.ncsuTitle,saber,El poder del saber (/poder-del-saber),"Estudio realizado por NCSU
sobre el funcionamiento de PigVision","Study conducted by NCSU
on how PigVision works",,Pendiente
saber.ncsuRenderAlt,saber,El poder del saber (/poder-del-saber),PigVision,PigVision,,Pendiente
saber.ncsuLogoAlt,saber,El poder del saber (/poder-del-saber),NC State University,NC State University,,Pendiente
saber.ncsuText,saber,El poder del saber (/poder-del-saber),"Evaluación precisa y rápida del peso en cerdos de engorde, validada frente a métodos tradicionales en granja.","Accurate and fast weight assessment in finishing pigs, validated against traditional on-farm methods.",,Pendiente
cotizar.pageLabel,cotizar,Formulario Cotizar (/cotizar),Cotizar,Get a quote,,Pendiente
cotizar.heroTitle1,cotizar,Formulario Cotizar (/cotizar),Cuéntanos sobre,Tell us about,,Pendiente
cotizar.heroTitle2,cotizar,Formulario Cotizar (/cotizar),tu operación,your operation,,Pendiente
cotizar.heroTitle3,cotizar,Formulario Cotizar (/cotizar),,,,Pendiente
cotizar.heroSubtitle.[0],cotizar,Formulario Cotizar (/cotizar),Sabemos lo que cuesta decidir sin datos.,We know what it costs to decide without data.,,Pendiente
cotizar.heroSubtitle.[1],cotizar,Formulario Cotizar (/cotizar),"Cuéntanos qué pasa en tu granja y
te ayudamos a encontrar la mejor solución.","Tell us what's happening on your farm and
we'll help you find the best solution.",,Pendiente
cotizar.introTitle,cotizar,Formulario Cotizar (/cotizar),"Completa la información
y te contactaremos","Fill in the information
and we'll contact you",,Pendiente
cotizar.introSubtitle,cotizar,Formulario Cotizar (/cotizar),con una solución personalizada.,with a personalized solution.,,Pendiente
cotizar.section1,cotizar,Formulario Cotizar (/cotizar),Tu información de contacto,Your contact information,,Pendiente
cotizar.fields.nameLabel,cotizar,Formulario Cotizar (/cotizar),Nombre y apellido,Full name,,Pendiente
cotizar.fields.namePlaceholder,cotizar,Formulario Cotizar (/cotizar),Juan Pérez,John Smith,,Pendiente
cotizar.fields.companyLabel,cotizar,Formulario Cotizar (/cotizar),Empresa / Granja,Company / Farm,,Pendiente
cotizar.fields.companyPlaceholder,cotizar,Formulario Cotizar (/cotizar),Granja San José,San José Farm,,Pendiente
cotizar.fields.locationLabel,cotizar,Formulario Cotizar (/cotizar),País/ciudad,Country/city,,Pendiente
cotizar.fields.locationPlaceholder,cotizar,Formulario Cotizar (/cotizar),"Colombia, Medellín","Colombia, Medellín",,Pendiente
cotizar.fields.emailLabel,cotizar,Formulario Cotizar (/cotizar),Correo electrónico,Email,,Pendiente
cotizar.fields.emailPlaceholder,cotizar,Formulario Cotizar (/cotizar),juan@granja.com,john@farm.com,,Pendiente
cotizar.fields.phoneLabel,cotizar,Formulario Cotizar (/cotizar),WhatsApp/teléfono,WhatsApp/phone,,Pendiente
cotizar.fields.phonePlaceholder,cotizar,Formulario Cotizar (/cotizar),+57 300 123 4567,+57 300 123 4567,,Pendiente
cotizar.section2,cotizar,Formulario Cotizar (/cotizar),Sobre tu producción,About your production,,Pendiente
cotizar.prodTypeLabel,cotizar,Formulario Cotizar (/cotizar),Tipo de producción,Type of production,,Pendiente
cotizar.prodTypes.[0],cotizar,Formulario Cotizar (/cotizar),Porcicultura,Swine,,Pendiente
cotizar.prodTypes.[1],cotizar,Formulario Cotizar (/cotizar),Avicultura · engorde,Poultry · broilers,,Pendiente
cotizar.prodTypes.[2],cotizar,Formulario Cotizar (/cotizar),Ponedoras,Layers,,Pendiente
cotizar.prodTypes.[3],cotizar,Formulario Cotizar (/cotizar),Ganadería,Cattle,,Pendiente
cotizar.prodTypes.[4],cotizar,Formulario Cotizar (/cotizar),Otra,Other,,Pendiente
cotizar.animalCountLabel,cotizar,Formulario Cotizar (/cotizar),Cantidad de animales,Number of animals,,Pendiente
cotizar.animalCounts.[0],cotizar,Formulario Cotizar (/cotizar),1-1000,1-1000,,Pendiente
cotizar.animalCounts.[1],cotizar,Formulario Cotizar (/cotizar),1000-10.000,"1000-10,000",,Pendiente
cotizar.animalCounts.[2],cotizar,Formulario Cotizar (/cotizar),+10.000,"+10,000",,Pendiente
cotizar.section3,cotizar,Formulario Cotizar (/cotizar),Solución que estás buscando,The solution you're looking for,,Pendiente
cotizar.solutions.[0].abbr,cotizar,Formulario Cotizar (/cotizar),PV,PV,,Pendiente
cotizar.solutions.[0].name,cotizar,Formulario Cotizar (/cotizar),PigVision,PigVision,,Pendiente
cotizar.solutions.[0].desc,cotizar,Formulario Cotizar (/cotizar),Estimación del peso de tus cerdos,Weight estimation for your pigs,,Pendiente
cotizar.solutions.[1].abbr,cotizar,Formulario Cotizar (/cotizar),SW,SW,,Pendiente
cotizar.solutions.[1].name,cotizar,Formulario Cotizar (/cotizar),SmartWeight,SmartWeight,,Pendiente
cotizar.solutions.[1].desc,cotizar,Formulario Cotizar (/cotizar),Monitoreo del peso promedio de tus aves,Average weight monitoring for your birds,,Pendiente
cotizar.solutions.[2].abbr,cotizar,Formulario Cotizar (/cotizar),IS,IS,,Pendiente
cotizar.solutions.[2].name,cotizar,Formulario Cotizar (/cotizar),Insylo,Insylo,,Pendiente
cotizar.solutions.[2].desc,cotizar,Formulario Cotizar (/cotizar),Inventario del alimento en silo,Feed inventory in the silo,,Pendiente
cotizar.solutions.[3].abbr,cotizar,Formulario Cotizar (/cotizar),NA,NA,,Pendiente
cotizar.solutions.[3].name,cotizar,Formulario Cotizar (/cotizar),Sensores ambientales,Environmental sensors,,Pendiente
cotizar.solutions.[3].desc,cotizar,Formulario Cotizar (/cotizar),Monitoreo de confort animal,Animal comfort monitoring,,Pendiente
cotizar.solutions.[4].abbr,cotizar,Formulario Cotizar (/cotizar),?,?,,Pendiente
cotizar.solutions.[4].name,cotizar,Formulario Cotizar (/cotizar),No estoy seguro · asesoría,Not sure · advisory,,Pendiente
cotizar.solutions.[4].desc,cotizar,Formulario Cotizar (/cotizar),Ayúdame a elegir la mejor opción,Help me choose the best option,,Pendiente
cotizar.section4,cotizar,Formulario Cotizar (/cotizar),Nivel de digitalización,Level of digitalization,,Pendiente
cotizar.digLabel,cotizar,Formulario Cotizar (/cotizar),Nivel de digitalización,Level of digitalization,,Pendiente
cotizar.digLevels.[0],cotizar,Formulario Cotizar (/cotizar),Todo manual,All manual,,Pendiente
cotizar.digLevels.[1],cotizar,Formulario Cotizar (/cotizar),Algunos registros digitales,Some digital records,,Pendiente
cotizar.digLevels.[2],cotizar,Formulario Cotizar (/cotizar),Sensores o automatización,Sensors or automation,,Pendiente
cotizar.digLevels.[3],cotizar,Formulario Cotizar (/cotizar),Optimizando con datos,Optimizing with data,,Pendiente
cotizar.section5,cotizar,Formulario Cotizar (/cotizar),¿Qué pasa hoy en tu operación?,What's happening in your operation today?,,Pendiente
cotizar.messageLabel,cotizar,Formulario Cotizar (/cotizar),Mensaje,Message,,Pendiente
cotizar.messagePlaceholder,cotizar,Formulario Cotizar (/cotizar),"Cuéntanos sobre tus desafíos actuales, necesidades específicas o qué te gustaría mejorar...","Tell us about your current challenges, specific needs or what you'd like to improve...",,Pendiente
cotizar.privacy,cotizar,Formulario Cotizar (/cotizar),"Al enviar este formulario, aceptas nuestra política de privacidad y el uso de tus datos para contactarte con información relevante sobre nuestras soluciones.","By submitting this form, you accept our privacy policy and the use of your data to contact you with relevant information about our solutions.",,Pendiente
cotizar.trust,cotizar,Formulario Cotizar (/cotizar),Respondemos en menos de 72 horas. Sin spam.,We reply within 72 hours. No spam.,,Pendiente
cotizar.submit,cotizar,Formulario Cotizar (/cotizar),Enviar para mejorar mi operación,Submit to improve my operation,,Pendiente
cotizar.submitting,cotizar,Formulario Cotizar (/cotizar),Enviando...,Sending...,,Pendiente
cotizar.successEyebrow,cotizar,Formulario Cotizar (/cotizar),Todo listo,All set,,Pendiente
cotizar.successHeading,cotizar,Formulario Cotizar (/cotizar),¡Gracias por escribirnos!,Thanks for reaching out!,,Pendiente
cotizar.successMsg,cotizar,Formulario Cotizar (/cotizar),Recibimos tu información y nuestro equipo te contactará en menos de 72 horas.,We received your information and our team will get back to you within 72 hours.,,Pendiente
cotizar.successHint,cotizar,Formulario Cotizar (/cotizar),"Mientras tanto, sigue explorando el ecosistema Asimetrix.","In the meantime, keep exploring the Asimetrix ecosystem.",,Pendiente
cotizar.successHome,cotizar,Formulario Cotizar (/cotizar),Volver al inicio,Back to home,,Pendiente
cotizar.successProducts,cotizar,Formulario Cotizar (/cotizar),Ver productos,See products,,Pendiente
cotizar.errorMsg,cotizar,Formulario Cotizar (/cotizar),Hubo un problema al enviar. Inténtalo de nuevo o escríbenos directamente.,There was a problem submitting. Please try again or contact us directly.,,Pendiente
cotizar.errorMsgNetwork,cotizar,Formulario Cotizar (/cotizar),No pudimos conectar con el servidor. Revisa tu conexión e inténtalo de nuevo.,We couldn't reach the server. Check your connection and try again.,,Pendiente
cotizar.errorMsgServer,cotizar,Formulario Cotizar (/cotizar),El servidor tuvo un problema procesando tu solicitud. Intenta más tarde.,The server had an issue processing your request. Please try again later.,,Pendiente
cotizar.errorMsgValidation,cotizar,Formulario Cotizar (/cotizar),Revisa los campos marcados en rojo antes de enviar.,Please review the fields marked in red before submitting.,,Pendiente
cotizar.requiredError,cotizar,Formulario Cotizar (/cotizar),Por favor completa tu nombre y correo electrónico.,Please complete your name and email.,,Pendiente
cotizar.fieldRequired,cotizar,Formulario Cotizar (/cotizar),Este campo es obligatorio.,This field is required.,,Pendiente
cotizar.invalidEmail,cotizar,Formulario Cotizar (/cotizar),Por favor ingresa un correo válido.,Please enter a valid email.,,Pendiente
cotizar.invalidPhone,cotizar,Formulario Cotizar (/cotizar),Ingresa un número de teléfono válido.,Please enter a valid phone number.,,Pendiente
cotizar.phoneOnlyDigits,cotizar,Formulario Cotizar (/cotizar),"Sólo se permiten números, +, espacios, guiones y paréntesis.","Only numbers, +, spaces, dashes and parentheses are allowed.",,Pendiente
cotizar.contactTitle,cotizar,Formulario Cotizar (/cotizar),¿Prefieres hablar directamente con nosotros?,Prefer to talk to us directly?,,Pendiente
cotizar.whatsapp,cotizar,Formulario Cotizar (/cotizar),WhatsApp,WhatsApp,,Pendiente
cotizar.whatsappValue,cotizar,Formulario Cotizar (/cotizar),+57 300 123 4567,+57 300 123 4567,,Pendiente
cotizar.emailContact,cotizar,Formulario Cotizar (/cotizar),Correo,Email,,Pendiente
cotizar.emailValue,cotizar,Formulario Cotizar (/cotizar),contacto@asimetrix.co,contacto@asimetrix.co,,Pendiente
cotizar.demo,cotizar,Formulario Cotizar (/cotizar),Agendar demo,Schedule a demo,,Pendiente
cotizar.demoValue,cotizar,Formulario Cotizar (/cotizar),30 min · videollamada,30 min · video call,,Pendiente
cookies.message,cookies,CookieBanner,"Al hacer clic en «Aceptar todas las cookies», aceptas el almacenamiento de cookies en tu dispositivo para mejorar la navegación, analizar el uso del sitio y apoyar nuestras iniciativas de marketing.","By clicking “Accept all cookies,” you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and support our marketing efforts.",,Pendiente
cookies.settings,cookies,CookieBanner,Configurar cookies,Cookie settings,,Pendiente
cookies.acceptAll,cookies,CookieBanner,Aceptar todas las cookies,Accept all cookies,,Pendiente
cookies.rejectAll,cookies,CookieBanner,Rechazar,Reject,,Pendiente
cookies.settingsTitle,cookies,CookieBanner,Preferencias de cookies,Cookie preferences,,Pendiente
cookies.settingsIntro,cookies,CookieBanner,Usamos cookies para mejorar tu experiencia. Elige qué categorías permites.,We use cookies to improve your experience. Choose which categories you allow.,,Pendiente
cookies.catNecessaryTitle,cookies,CookieBanner,Necesarias,Necessary,,Pendiente
cookies.catNecessaryDesc,cookies,CookieBanner,Requeridas para el funcionamiento básico del sitio. No se pueden desactivar.,Required for basic site functionality. Cannot be disabled.,,Pendiente
cookies.catAnalyticsTitle,cookies,CookieBanner,Analíticas,Analytics,,Pendiente
cookies.catAnalyticsDesc,cookies,CookieBanner,Nos ayudan a entender cómo se usa el sitio para mejorarlo.,Help us understand how the site is used so we can improve it.,,Pendiente
cookies.catMarketingTitle,cookies,CookieBanner,Marketing,Marketing,,Pendiente
cookies.catMarketingDesc,cookies,CookieBanner,Permiten mostrar contenido y anuncios más relevantes.,Allow us to show more relevant content and ads.,,Pendiente
cookies.save,cookies,CookieBanner,Guardar preferencias,Save preferences,,Pendiente
cookies.cancel,cookies,CookieBanner,Cancelar,Cancel,,Pendiente
